t,H
0.0,1.1053196716589862e6
0.7708333333333334,1.3730969837587008e6
1.7708333333333333,2.0037707520516617e6
2.7708333333333335,1.4058704041720994e6
3.7708333333333335,221265.9191655802
6.770833333333333,2574.781874472277
7.770833333333333,3894.9513541940573
8.770833333333334,6729.8913738019155
9.770833333333334,11708.606245239911
10.770833333333334,23295.60661023781
13.770833333333334,146868.38276440965
14.770833333333334,248178.34008097168
15.770833333333334,393278.0700690993
16.770833333333332,715434.6252566734
17.770833333333332,925150.6677796327
21.770833333333332,8.667742437337942e6
22.770833333333332,1.187699777117385e7
23.770833333333332,2.147947260089081e7
24.770833333333332,3.5103163216506116e7
25.437499999999996,1.9914143103448276e6
26.437499999999996,2.642060007911392e6
27.437499999999996,3.940545317220544e6
28.437499999999996,4.880372420262664e6
29.437499999999996,9.892330316742083e6
30.437499999999996,2.0788552178000625e7
31.437499999999996,2.6136874830301385e7
34.4375,5.577066227414754e7
35.104166666666664,1.3211197472026523e6
36.104166666666664,2.2788386011027056e6
37.104166666666664,4.245600041829336e6
38.104166666666664,6.300774776399308e6
42.104166666666664,3.0143224899019044e7
43.104166666666664,2.950254646840149e7
43.854166666666664,1.9531244779738646e6
44.854166666666664,3.1178939937394024e6
47.9375,8.69805326981377e6
48.854166666666664,1.8056840535524923e7
50.020833333333336,6.209590713447242e7
50.854166666666664,3.730210657894737e7
51.854166666666664,5.763783218203982e7
54.854166666666664,7.291412550607288e7
55.854166666666664,6.0295108695652165e7
56.64583333333333,1.299925012807377e6
57.64583333333333,2.0372727272727275e6
58.64583333333333,3.495868343195267e6
61.64583333333333,1.2677644520010462e7
62.64583333333333,1.5719296875e7
63.645833333333336,2.6219277131535217e7
64.64583333333334,2.5782999358151477e7
65.64583333333334,4.11568551510457e7
