t,S,R,V,R_over_SR
0.0,1.1376819124423964e6,0.0,4.624963684676705e6,0.0
0.7708333333333334,1.6874747500406038e6,28.4474753207207,1.2708505003997292e7,1.685773121058175e-5
1.7708333333333333,2.3036333993678372e6,107.08047229203171,8.829993416985022e7,4.648113501893351e-5
2.7708333333333335,767863.014909768,236.9419684768375,4.424046355377315e8,0.00030847803903001164
3.7708333333333335,42388.907278924846,424.5810881275738,5.581935694411026e8,0.00991699355323531
6.770833333333333,10.75545865517188,2314.7892949022244,5.3254374587678075e8,0.9953750799081724
7.770833333333333,11.368102797207877,4073.3681428978743,5.2200358533943135e8,0.9972169310052298
8.770833333333334,19.974512754483857,7167.818457470749,5.1167461624453956e8,0.9972210506288611
9.770833333333334,35.82925606483365,12612.603524209817,5.0155572283644867e8,0.9971672967957967
10.770833333333334,64.30708082665709,22191.928618873153,4.916470225215229e8,0.9971106038912266
13.770833333333334,371.32604609400227,120754.14057813481,4.632471947335299e8,0.9969343684986909
14.770833333333334,665.4013587471273,212201.0801609427,4.5429210353124106e8,0.9968740904909185
15.770833333333334,1190.7346751278842,372505.7488830926,4.4567910146379477e8,0.9968136315766472
16.770833333333332,2125.68039905039,652698.8439236516,4.3752513207538503e8,0.9967538167553377
17.770833333333332,3778.7353182238426,1.1399563457264702e6,4.300358308299249e8,0.9966961446047695
21.770833333333332,32671.792164008682,9.509073831020389e6,4.183805843954797e8,0.9965759103780105
22.770833333333332,51066.37668534197,1.5069836788562737e7,4.265700927888867e8,0.996622795865613
23.770833333333332,74046.00506386698,2.2570347212649766e7,4.436460847802291e8,0.9967300512602854
24.770833333333332,97709.09403865552,3.1472433109102882e7,4.719525604449188e8,0.9969050157135836
