replicate,cycle,t_cycle_start,phi,delta,beta,mu,fitness
A,1,0.0,1.1211137426245662e-10,9.999999999999815,1999.9999999999961,0.010000000000001301,42.68747203744764
A,2,24.770833333333332,1.2759135125211142e-10,0.5000000000009022,1999.999999999664,0.01000000000273222,8.060299066595062
A,3,34.4375,5.426325617930485e-10,0.5000000000094047,1999.9999999940933,0.010000000001960899,6.689867852902211
A,4,43.104166666666664,1.6850388269107796e-10,0.500000000187929,1999.9999999894092,0.010000000001281423,13.82451486349533
A,5,55.854166666666664,4.489207066345913e-10,0.5000000000102091,1999.9999999988825,0.010000000002045994,10.166644813166203
B,1,0.0,1.0701757753835254e-10,9.999999999999291,1999.9999999999998,0.01000000000000004,42.668872429408886
B,2,24.770833333333332,2.8676476784007834e-10,0.5000000000003354,1999.9999999975182,0.23148258117882342,8.299887292373041
B,3,34.4375,5.769242148134689e-10,0.5000000000001853,1999.9999999789304,0.03138785716864051,5.964967775340911
B,4,43.104166666666664,1.0000000000000777e-10,1.3416903310983783,1999.999999999616,0.010000000000062443,13.726830052861738
B,5,55.854166666666664,3.7742513641694446e-10,0.5000000000010634,1999.9999999892173,0.010000000000007012,10.76000485022808
C,1,0.0,1.1356162094532055e-10,9.999999999999975,1999.9999999999961,0.010000000000006434,44.513820476660605
C,2,24.770833333333332,2.641505144310677e-10,0.50000000000034,1999.9999999973743,0.2669771819779485,6.374709513616124
C,3,34.4375,6.791249187126931e-10,0.5000000000009927,1999.9999999979266,0.41354129309577553,6.033245536281609
C,4,43.104166666666664,1.6639471361510188e-10,0.5000000000034905,1999.9999999999002,0.010000000000000396,14.064512831656273
C,5,55.854166666666664,5.017330083734545e-10,0.500000000000125,1999.999999999703,0.010000000000025886,10.78029365979595
