time,X
0.0,3.959936226749336e6
18.5,1.7557732506643046e7
42.5,3.705211267605633e7
66.5,6.539197183098591e7
90.5,6.699422535211267e7
162.5,5.230421982335623e7
186.5,5.404769381746811e7
210.5,4.841046123650638e7
234.5,4.858480863591757e7
258.5,4.8236113837095186e7
330.5,4.841046123650638e7
354.5,4.39223642732049e7
378.5,4.874500875656742e7
402.5,4.584105078809106e7
426.5,5.5278914185639225e7
522.5,4.226295971978984e7
546.5,4.7604168126094565e7
570.5,5.387879159369527e7
594.5,4.570344827586207e7
618.5,4.2056896551724136e7
642.5,4.220275862068965e7
666.5,4.502275862068965e7
690.5,3.4569310344827585e7
714.5,4.745379310344827e7
738.5,3.952862068965517e7
762.5,5.058271584241408e7
810.5,4.720722548197821e7
834.5,5.0185599329421625e7
858.5,4.2193629505448446e7
882.5,4.149490406753645e7
906.5,3.958604758250192e7
930.5,5.058271584241408e7
1026.5,4.126765924788949e7
1050.5,4.5835280122793555e7
1074.5,3.2916412125863392e7
1098.5,3.547635082223962e7
1170.5,3.911673453406421e7
1194.5,4.153979248238058e7
1242.5,4.2432498042286605e7
1266.5,3.670527016444792e7
1343.5,3.3470661707126074e7
1363.5,4.917996084573218e7
1387.5,4.7927854346123725e7
1411.5,4.6838057948316365e7
1435.5,4.047016853932585e7
1507.5,4.047016853932585e7
1531.5,3.880668539325843e7
1555.5,4.486987198244331e7
1579.5,4.295291148500366e7
1603.5,5.328500365764448e7
