t,phi
43.104166666666664,1.1913551588146193e-10
43.166666666666664,1.2008169242901465e-10
43.833333333333336,1.4029117108441213e-10
43.854166666666664,1.4121731567748017e-10
44.833333333333336,2.0435864490523598e-10
44.854166666666664,2.0608277167292208e-10
47.833333333333336,2.902725233449546e-10
47.9375,2.8142028814873794e-10
48.833333333333336,1.9420354692679108e-10
48.854166666666664,1.9213562240679335e-10
50.020833333333336,9.296153080924788e-11
50.833333333333336,5.087817198633105e-11
50.854166666666664,5.007897438367698e-11
51.833333333333336,2.4133884958544398e-11
51.854166666666664,2.3779200040659363e-11
54.854166666666664,8.035099572410495e-12
55.041666666666664,8.368197185365995e-12
55.854166666666664,1.2366222437877838e-11
55.875,1.2552626948745943e-11
